Server running on port 3000
db connected
User connected: yPlep8EB1VdskQgKAAAB
User connected: AL9Ro93_heSr02lVAAAD
User disconnected: yPlep8EB1VdskQgKAAAB
User disconnected: AL9Ro93_heSr02lVAAAD
User connected: XgsbUbhzLs1hO_QuAAAF
User connected: RoYmvqafplasv3cDAAAH
User disconnected: XgsbUbhzLs1hO_QuAAAF
User disconnected: RoYmvqafplasv3cDAAAH
User connected: NBpyuea3YD5tnAClAAAJ
User connected: vQfon_6J88IkbKtSAAAL
User disconnected: NBpyuea3YD5tnAClAAAJ
User disconnected: vQfon_6J88IkbKtSAAAL
User connected: NPCUhHxuv12UIgIBAAAN
User connected: ive7JraEwxOvHuKJAAAP
User disconnected: NPCUhHxuv12UIgIBAAAN
User disconnected: ive7JraEwxOvHuKJAAAP
User connected: sANrnSh0nB8N8fh7AAAR
User connected: -ScE-oGCfHtw3_ddAAAT
User disconnected: sANrnSh0nB8N8fh7AAAR
User disconnected: -ScE-oGCfHtw3_ddAAAT
User connected: v3yUQQeR2SM0XMATAAAV
User connected: Td8Au8myTpJbU73KAAAX
User disconnected: v3yUQQeR2SM0XMATAAAV
User disconnected: Td8Au8myTpJbU73KAAAX
User connected: MTILViHJcofp3kESAAAZ
User connected: o3rOmoG-crXAVHRWAAAb
User disconnected: MTILViHJcofp3kESAAAZ
User disconnected: o3rOmoG-crXAVHRWAAAb
User connected: WHLCFi8Gn0UaY7P5AAAd
User connected: KlBvGTVBalCjv4UyAAAf
User disconnected: WHLCFi8Gn0UaY7P5AAAd
User disconnected: KlBvGTVBalCjv4UyAAAf
